Year,City,Province,Registered_Voters,Votes_Cast,Turnout_Percent,High_Turnout
1988,Okara,Punjab,667510.0,150968.0,22.616590013632752,0
1988,Pashin,Balochistan,315027.0,24959.0,7.922812965237901,0
1988,Peshawar,KPK,799828.0,125412.0,15.679871172302045,0
1988,Quetta,Balochistan,313167.0,22903.0,7.313350384938387,0
1988,Rahim Yar Khan,Punjab,1131889.0,202604.0,17.899635034884163,0
1988,Rajanpur,Punjab,323678.0,52936.0,16.354525176255414,0
1988,Rawalpindi,Punjab,1295514.0,306422.0,23.652542542959782,0
1988,Sahiwal,Punjab,1564100.0,349021.0,22.31449395818682,0
1988,Sanghar,Sindh,470567.0,102604.0,21.804333920568165,0
1988,Sargodha,Punjab,1293610.0,317736.0,24.56196226065043,0
1988,Shaheed Benazirabad,Sindh,892506.0,205556.0,23.031329761368553,0
1988,Sheikhupura,Punjab,1240826.0,252350.0,20.33725921281469,0
1988,Shikarpur,Sindh,327438.0,81865.0,25.001679707303364,0
1988,Sialkot,Punjab,1538650.0,324117.0,21.065024534494526,0
1988,Sibi,Balochistan,194195.0,16945.0,8.725765338963413,0
1988,Sukkur,Sindh,634240.0,163959.0,25.851255045408678,0
1988,Swabi,KPK,300217.0,40257.0,13.40930060589507,0
1988,Swat,KPK,718900.0,68991.0,9.596745027124774,0
1988,Tharparkar,Sindh,595670.0,115073.0,19.31824668020884,0
1988,Thatta,Sindh,368871.0,90621.0,24.567125092512015,0
1988,Toba Tek Singh,Punjab,678135.0,187737.0,27.684310646110287,0
1988,Tribal Area,KPK,34403.0,10858.0,31.56120105804726,0
1988,Vehari,Punjab,806339.0,199057.0,24.686515224986017,0
1988,Zhob,Balochistan,209206.0,13307.0,6.360716231848035,0
1990,Abbottabad,KPK,717943.0,161228.0,22.456935996311685,0
1990,Attock,Punjab,531296.0,139592.0,26.27386616876468,0
1990,Badin,Sindh,347835.0,78639.0,22.608133166587606,0
1990,Bahawalnagar,Punjab,804233.0,206515.0,25.678503617732673,0
1990,Bahawalpur,Punjab,894125.0,205984.0,23.037494757444428,0
1990,Bannu,KPK,412633.0,67348.0,16.321525423318057,0
1990,Bhakkar,Punjab,385429.0,119739.0,31.06642209070931,0
1990,Chakwal,Punjab,532596.0,159112.0,29.874801913645616,0
1990,Charsadda,KPK,339344.0,66452.0,19.58248856617474,0
1990,Chitral,KPK,116608.0,35269.0,30.24578073545554,0
1990,Dadu,Sindh,612938.0,162653.0,26.536615448870847,0
1990,Dera Ghazi Khan,Punjab,295661.0,154738.0,52.33629054897332,1
1990,Dera Ismail Khan,KPK,377482.0,64533.0,17.09564959388792,0
1990,Dir,KPK,288550.0,28533.0,9.88840755501646,0
1990,Faisalabad,Punjab,2097553.0,541154.0,25.799300422921373,0
1990,Gujranwala,Punjab,1519285.0,396752.0,26.114389334456668,0
1990,Gujrat,Punjab,1450415.0,360044.0,24.823516028171248,0
